date,score_spread,n_candidates,n_each_side,spread_threshold,spread_threshold_high,gross_multiplier
2022-11-02,0.0011397988153183814,760,3,0.0011779089186374782,0.001472386148296848,0.0
2022-11-03,0.0012580417254819116,819,4,0.0011779089186374782,0.001472386148296848,0.5
2022-11-04,0.001272225983740475,880,4,0.0011779089186374782,0.001472386148296848,0.5
2022-11-07,0.0011657725382229012,922,4,0.0011779089186374782,0.001472386148296848,0.0
2022-11-08,0.0010859471344784471,913,4,0.0011779089186374782,0.001472386148296848,0.0
2022-11-09,0.001190638504724329,946,4,0.0011779089186374782,0.001472386148296848,0.5
2022-11-10,0.001168064916245158,972,4,0.0011787795755153535,0.001473474469394192,0.0
2022-11-11,0.001225315747577648,984,4,0.0011787795755153535,0.001473474469394192,0.5
2022-11-14,0.0011003742455821233,981,4,0.0011787795755153535,0.001473474469394192,0.0
2022-11-15,0.0010339835747909818,977,4,0.0011779089186374782,0.001472386148296848,0.0
2022-11-16,0.0010682772562666957,972,4,0.0011763590606134818,0.001470448825766852,0.0
2022-11-17,0.0009921407032133045,974,4,0.0011763590606134818,0.001470448825766852,0.0
2022-11-18,0.0010485358383809436,971,4,0.001174450513379509,0.0014680631417243865,0.0
2022-11-21,0.0011851193915839425,979,4,0.00117185786876172,0.00146482233595215,0.5
2022-11-22,0.0012162234282749981,979,4,0.00117185786876172,0.00146482233595215,0.5
2022-11-23,0.0011741574322987726,991,4,0.00117185786876172,0.00146482233595215,0.5
2022-11-25,0.0013894824809598102,994,4,0.00117185786876172,0.00146482233595215,0.5
2022-11-28,0.0013471199946763625,987,4,0.00117185786876172,0.00146482233595215,0.5
2022-11-29,0.001241446855099261,977,4,0.00117185786876172,0.00146482233595215,0.5
2022-11-30,0.0026445611312776937,975,4,0.0011733824349435562,0.001466728043679445,1.0
2022-12-01,0.0027673467657788314,981,4,0.0011733824349435562,0.001466728043679445,1.0
2022-12-02,0.002573535101241751,990,4,0.0011733824349435562,0.001466728043679445,1.0
2022-12-05,0.0027906554380846805,984,4,0.0011733824349435562,0.001466728043679445,1.0
2022-12-06,0.0026797344526488373,983,4,0.0011733824349435562,0.001466728043679445,1.0
2022-12-07,0.002453916280771582,976,4,0.0011733824349435562,0.001466728043679445,1.0
2022-12-08,0.002670846778623283,985,4,0.0011733824349435562,0.001466728043679445,1.0
2022-12-09,0.0024778437653715044,987,4,0.0011733824349435562,0.001466728043679445,1.0
2022-12-12,0.002458485398641566,996,4,0.0011733824349435562,0.001466728043679445,1.0
2022-12-13,0.0029009189133182194,993,4,0.0011733824349435562,0.001466728043679445,1.0
2022-12-14,0.002966724976560667,991,4,0.0011733824349435562,0.001466728043679445,1.0
2022-12-15,0.002907299326448276,991,4,0.0011733824349435562,0.001466728043679445,1.0
2022-12-16,0.002886996500677138,992,4,0.0011752255107347256,0.001469031888418407,1.0
2022-12-19,0.002813157402006646,991,4,0.0011752255107347256,0.001469031888418407,1.0
2022-12-20,0.002403580432283131,988,4,0.0011752255107347256,0.001469031888418407,1.0
2022-12-21,0.0025240759534085055,990,4,0.0011752255107347256,0.001469031888418407,1.0
2022-12-22,0.0026173552704032857,994,4,0.0011752255107347256,0.001469031888418407,1.0
2022-12-23,0.002533150467363382,997,4,0.0011752255107347256,0.001469031888418407,1.0
2022-12-27,0.0025919663142815017,997,4,0.0011752255107347256,0.001469031888418407,1.0
2022-12-28,0.002508338639304705,997,4,0.0011752255107347256,0.001469031888418407,1.0
2022-12-29,0.0024116279966269476,997,4,0.0011752255107347256,0.001469031888418407,1.0
2022-12-30,0.002796747963091842,997,4,0.0011752255107347256,0.001469031888418407,1.0
2023-01-03,0.0012198178195862407,989,4,0.0011752255107347256,0.001469031888418407,0.5
2023-01-04,0.0012589549569725893,989,4,0.0011752255107347256,0.001469031888418407,0.5
2023-01-05,0.0013182108718308902,988,4,0.0011763590606134818,0.001470448825766852,0.5
2023-01-06,0.0012545458668673573,993,4,0.0011779089186374782,0.001472386148296848,0.5
2023-01-09,0.0013154586501389544,993,4,0.0011787795755153535,0.001473474469394192,0.5
2023-01-10,0.001310730818414633,995,4,0.0011790134684059725,0.0014737668355074656,0.5
2023-01-11,0.0013835631073976554,991,4,0.0011812457822842682,0.0014765572278553352,0.5
2023-01-12,0.0013412960881536012,988,4,0.001183231325858914,0.0014790391573236425,0.5
2023-01-13,0.0014275461340529018,988,4,0.001184522552827173,0.0014806531910339664,0.5
2023-01-17,0.0012185904876952387,974,4,0.0011884308594681742,0.0014855385743352178,0.5
2023-01-18,0.0013276022066459794,963,4,0.0011906671014820576,0.001488333876852572,0.5
2023-01-19,0.0011768740653360595,969,4,0.0011917268011031135,0.0014896585013788918,0.0
2023-01-20,0.0011257446800684498,968,4,0.0011917268011031135,0.0014896585013788918,0.0
